,"CleanRL PPO (Sync), 1 A100, 10 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU","Cleanba PPO, 8 A100, 46 CPU","Cleanba IMPALA (Sync), 8 A100, 46 CPU","Cleanba IMPALA, 8 A100, 46 CPU"
Alien-v5,255.2073969445473,42.38243433554967,29.009413084409854,36.09622799705576,23.751998865597606
Amidar-v5,234.59120467266266,39.696171987145036,28.17472658899095,40.75126446325215,21.304608343625677
Assault-v5,209.0462391294903,37.2016980655105,28.069630908480395,33.43941291829459,18.977981836204854
Asterix-v5,211.28159058776674,37.559585113966904,28.095440394171963,36.73519512107909,19.020621177226392
Asteroids-v5,218.75190491207647,38.43682371051223,28.127020457188287,32.12845080516277,20.469231728053842
Atlantis-v5,231.09216633300292,39.10260779513253,28.11083515158406,39.7062388830511,20.46876434449117
BankHeist-v5,221.11631817062494,37.34265614717095,28.69105368927673,31.642004633690217,20.162714450006135
BattleZone-v5,242.44509793808112,37.418385279885044,30.21470264461305,34.09829018201584,22.247917231317942
BeamRider-v5,234.28484080959385,36.330653960439896,29.852727763432043,37.18674343463023,20.747737580656665
Berzerk-v5,218.0189552227004,35.83683103128716,29.991068550039223,33.01375840816063,21.18504016643236
Bowling-v5,208.487617093665,34.34506863430694,29.783694729937448,30.457197315883093,19.012236238850488
Boxing-v5,273.6471864118658,41.29648938805969,31.70663265934697,46.31427886146427,28.16377429788269
Breakout-v5,236.5828249647719,36.5888192418328,29.29784057723151,32.81032149242879,21.09711026884552
Centipede-v5,223.23977956807715,36.72059736278322,29.40061381101608,34.647768330655545,22.256857586823976
ChopperCommand-v5,243.02443884927797,37.40864209042655,29.303555669387183,34.334537595901054,22.47462846488355
CrazyClimber-v5,208.54067142537926,34.103991847877154,28.67242498437564,29.971388819102206,18.965628984721636
Defender-v5,210.72096138813555,33.914031318117075,28.709610681622117,29.61382283742611,18.768885429693423
DemonAttack-v5,211.1710420211156,34.01529870510101,28.610673879384994,30.896441217107313,19.62900665825249
DoubleDunk-v5,236.45012829582913,36.796062693551725,28.54935026389581,36.73480465251156,21.0924573063307
Enduro-v5,254.20845371596832,37.72408117956585,29.05166121447528,33.21208239744871,21.930914296017075
FishingDerby-v5,279.5095479753201,40.40947934777648,30.033595425376184,37.25292642274813,25.383513049053672
Freeway-v5,273.42028337680784,39.65709548464528,28.89770082509076,41.02020699245637,24.85151596900065
Frostbite-v5,246.01774009306,37.76393324807838,28.767251268404504,40.4743063338258,23.788515866434473
Gopher-v5,211.08130450313521,34.641386579275135,28.207346954080794,30.859714073761236,19.181193922781876
Gravitar-v5,220.4207436565334,35.52344549633838,28.32386550165989,32.802162604868585,20.625505491253996
Hero-v5,267.43941136345495,39.572339199516506,29.208239148457846,36.673911194916805,24.88598505875324
IceHockey-v5,242.57745090930484,37.520841505704105,28.271445030283044,34.19806404254375,21.92808503750722
Jamesbond-v5,221.35006840744182,35.809645172136804,28.534294366483334,31.533314565443927,19.90127277071999
Kangaroo-v5,239.3708575063078,37.290360360763685,29.296464060235905,33.84498992633276,21.960824053124483
Krull-v5,252.7918277030684,38.536328946219555,28.393384473941943,35.01321042204175,22.808487165986303
KungFuMaster-v5,250.514117019853,37.77026082789457,28.293222065854952,33.81343494621777,22.033348541341276
MontezumaRevenge-v5,237.29743547784773,37.940510400886886,28.39575531986025,35.83554096659364,23.235147869811094
MsPacman-v5,232.2483234767099,36.53028710731754,28.266249847058898,32.86164719028011,21.052919028233255
NameThisGame-v5,230.41802558172665,37.79039098381997,28.896072571719134,36.560828101098366,23.304207126972003
Phoenix-v5,213.85486911296846,35.33484580918595,28.157183562208107,32.52879147034425,21.5656326845976
Pitfall-v5,243.3729732110195,36.54797808956217,28.47754801083494,34.15761099779368,22.011371162603382
Pong-v5,219.95480724612668,34.62266578590428,29.21682933383518,31.485760177377283,19.83357524466311
PrivateEye-v5,250.15370653238054,36.46957458465188,28.255854778510557,33.35173367774724,21.672524127695297
Qbert-v5,235.64725540097552,35.838843413149874,29.389354919460082,33.255858900757595,22.50969205573074
Riverraid-v5,242.52048707092314,37.097022099936446,29.47982597262771,35.21104932019513,23.944682225596868
RoadRunner-v5,246.8084232772599,37.16946743726731,29.940993252418657,34.542756738357056,24.474688010175008
Robotank-v5,256.2461544570556,38.36133264903669,29.731568415871376,35.906045530256726,25.798560358459113
Seaquest-v5,229.4224662095298,35.34110286747968,28.229525347948073,32.78699192761696,22.36254420326646
Skiing-v5,233.14917326714038,35.18652476544733,27.407098920742673,33.12644646239077,22.644649865471063
Solaris-v5,251.4557458364699,38.48861735533785,28.060297080013488,41.05116717178937,24.848835117205592
SpaceInvaders-v5,216.72269732669272,34.67999937627051,27.785260674644398,31.754424458473835,19.936000398000083
StarGunner-v5,205.946896237732,33.355963976339055,27.729005853335064,29.33239461414495,19.195216075477436
Surround-v5,213.328689559908,34.04750864232028,27.755344047325632,31.17786395285544,19.776817284520195
Tennis-v5,245.43798982727427,36.13800529859684,27.764918539038412,33.63745077444957,22.48396112367978
TimePilot-v5,214.8899124991099,34.522664731034524,27.75538366869644,32.24389208195216,20.48398929586438
Tutankham-v5,224.04655590739208,34.662327018181486,27.75045066029937,31.497560001316234,20.4587262681203
UpNDown-v5,298.0886784523899,40.62137391072732,29.28632191993572,39.30361636734417,28.08961131265021
Venture-v5,225.00820229329818,35.01046860968625,27.77327779447591,37.83384292550236,20.96165741152913
VideoPinball-v5,265.9506782118113,37.851185747296725,28.083182057716225,46.044397368763924,24.224732552912844
WizardOfWor-v5,224.4163419127709,34.51723322766798,27.76989685950456,33.3222523775875,20.753517879339366
YarsRevenge-v5,214.5035641483527,34.072977760456226,27.777532713324938,37.8313285304814,20.16500239950979
Zaxxon-v5,228.59586292131536,35.171070401933456,27.79186534784458,33.679595460090205,21.087029701760013
