,"Moolib (Resnet CNN) 1 A100, 10 CPU","Moolib (Resnet CNN) 8 A100, 80 CPU","Cleanba IMPALA, 1 A100, 10 CPU","Cleanba IMPALA, 8 A100, 46 CPU","Cleanba PPO (Sync), 1 A100, 10 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU"
Assault-v5,142.19251122787205,35.036979768578966,114.27929670498241,18.977981836204854,190.62656506732657,37.2016980655105
Asterix-v5,145.36673704305701,36.2985889977879,113.12393053064318,19.020621177226392,192.858592443113,37.559585113966904
Breakout-v5,162.98910544744504,40.599128045452964,136.97438498365912,21.09711026884552,215.36394512706332,36.5888192418328
Boxing-v5,190.4365786339289,42.78917201072232,170.41449929928848,28.16377429788269,238.42803476218825,41.29648938805969
ChopperCommand-v5,167.2454804724171,41.784603167497195,142.03482203963136,22.47462846488355,219.37474347913707,37.40864209042655
DemonAttack-v5,143.6093618060483,35.458036049989744,119.87119013560124,19.62900665825249,195.61287612416126,34.01529870510101
Gravitar-v5,149.37218282232004,36.45434908469518,125.1802425032803,20.625505491253996,202.5971545616344,35.52344549633838
Kangaroo-v5,165.26772999657396,39.78561012794574,141.28035235743238,21.960824053124483,220.76550037794644,37.290360360763685
KungFuMaster-v5,171.41629780663385,44.563692863340734,149.60937395223525,22.033348541341276,227.50362688227935,37.77026082789457
NameThisGame-v5,163.08728218093546,41.20337734458181,134.9175549362324,23.304207126972003,213.23191745594696,37.79039098381997
TimePilot-v5,149.954171245177,36.870140562886775,124.2857006722366,20.48398929586438,198.28002185644925,34.522664731034524
UpNDown-v5,213.98730514833804,43.714315247290415,192.22968645061863,28.08961131265021,272.1986878500603,40.62137391072732
